inference_time,precision
0.26661300007253885,0.5
0.3185069588944316,0.18181818181818182
0.18659670848865062,0.09090909090909091
0.2683815830387175,0.027777777777777776
0.274070292012766,0.0
0.3773692089598626,0.5
0.23186904098838568,0.16666666666666666
0.2922558749560267,0.0
0.2741988329216838,0.0
0.4000353750307113,0.0
0.5195273749995977,0.0
0.5060699579771608,0.0
0.29320679185912013,0.5
0.26372495805844665,0.0
0.15977185405790806,0.2857142857142857
0.2225724160671234,0.0
0.6697715830523521,0.16666666666666666
0.8925176670309156,0.5714285714285714
0.2874325830489397,0.0
0.2823488749563694,0.3333333333333333
0.8236561669036746,1.0
0.6549827910494059,0.4
0.3245369999203831,0.0
0.27195683401077986,0.023809523809523808
0.9349037089850754,0.0
0.2930575830396265,0.0
0.26848749979399145,0.0
0.6590862500015646,0.5
0.3122923339251429,0.0
0.32866166695021093,0.2
0.31894287513569,0.5
0.3170621250756085,0.0
0.9191235420294106,0
0.6095501249656081,0.6
0.27201362513005733,0.25
0.6453359590377659,0.1111111111111111
0.2939524590037763,0.25
0.3238716251216829,0.0
0.3132289170753211,0.0
0.29581829090602696,0.0
0.31994000007398427,0.0
1.045269750058651,1.0
0.2837938340380788,0.0
0.2064350419677794,0.24
0.4730741248931736,0.0
0.6870218329131603,0.09090909090909091
0.2577707499731332,0.0
0.6487871669232845,0.0
0.2470893340650946,0.16666666666666666
0.2686390420421958,0.08333333333333333
0.21436335402540863,0.0
0.6689200829714537,0.0
0.6455741249956191,0.5
0.27280695806257427,0.08333333333333333
0.2719486670102924,0.0
0.2745607919059694,0.0
0.2663892500568181,0.06666666666666667
0.275973916053772,0.0
0.2720975000411272,0.0
0.4495286669116467,1.0
0.32061200006864965,0.3333333333333333
3.2023703339509666,0.0
0.3423841658513993,0.0
0.6088134997989982,0.25
0.6009577088989317,0.0
0.20520279090851545,0.0
0.3304805001243949,0.0
0.32224616617895663,0.0
0.23694089602213353,0.0
0.5944565418176353,0.6666666666666666
0.6930102910846472,0.25
2.716202500043437,0.14285714285714285
0.2694100420922041,0.07142857142857142
0.2752805829513818,0.038461538461538464
0.7451017079874873,0.0
0.7839105001185089,0.0
0.5803429579827935,0.0
0.2866401250939816,0.0
0.318258416140452,0.5
0.29627870791591704,0.1
