bits,top_1_accuracy,top_5_accuracy,tokens_per_second,total_samples,total_tokens,elapsed_time,memory_footprint_mb
2,0.0018,0.0082,1422.4943005006785,5000,416476,292.7786774635315,87.570944
4,0.0524,0.0888,1422.6774060832226,5000,416476,292.7409954071045,114.527744
8,0.0548,0.098,1414.7280268629804,5000,416476,294.38591170310974,168.441344
2,0.0032,0.0126,3625.0727318883846,5000,416476,114.88762593269348,87.570944
4,0.0522,0.0902,3578.539393425954,5000,416476,116.38156080245972,114.527744
8,0.0546,0.0978,3562.7040986250922,5000,416476,116.89884662628174,168.441344
2,0.0032,0.0126,3583.8589396503653,5000,416476,116.20881485939026,87.570944
4,0.0522,0.0902,3608.665167756442,5000,416476,115.40998697280884,114.527744
8,0.0546,0.0978,3546.3153478158642,5000,416476,117.4390766620636,168.441344
2,0.0032,0.0126,3628.1822369102765,5000,416476,114.78916239738464,87.570944
2,0.0026,0.0126,6029.08158877185,5000,416476,69.07785105705261,87.570944
2,0.0032,0.0126,3588.697891906517,5000,416476,116.05212044715881,87.570944
4,0.0522,0.0902,3548.685630443346,5000,416476,117.36063528060913,114.527744
8,0.0546,0.0978,3479.164985451059,5000,416476,119.70573449134827,168.441344
2,0.003,0.0128,6034.666373390368,5000,416476,69.0139229297638,87.570944
2,0.003,0.012,6007.334360289203,5000,416476,69.32792067527771,87.570944
2,0.0028,0.0126,6042.269104296994,5000,416476,68.92708563804626,87.570944
2,0.0032,0.0126,3642.3495095993394,5000,416476,114.3426787853241,87.570944
4,0.0522,0.0902,3613.242811918772,5000,416476,115.26377320289612,114.527744
8,0.0546,0.0978,3597.0258678755604,5000,416476,115.78343200683594,168.441344
2,0.0032,0.0126,3675.546606564818,5000,416476,113.30994939804077,87.570944
4,0.0522,0.0902,3651.417052486222,5000,416476,114.05873227119446,114.527744
8,0.0546,0.0978,3615.396129908964,5000,416476,115.19512248039246,168.441344
full,0.0548,0.0986,8507.2477423195,5000,416476,48.95543336868286,538.064
2,0.0032,0.0126,3571.714803963054,5000,416476,116.60393476486206,87.570944
4,0.0522,0.0902,3548.707056221253,5000,416476,117.35992670059204,114.527744
8,0.0546,0.0978,3539.648049689894,5000,416476,117.66028547286987,168.441344
